|  |  | KU 0600-0800; KU 0809; KU 0819-0963; KU 0968-0969; KU 0987-0989; KU 0996-0999 |
|   | G K | 2440 Abschreibungen auf Forderungen gegenüber Kapitalgesellschaften, an denen eine Beteiligung besteht (soweit unüblich hoch), § 3c EStG bzw. § 8b Abs. 3 KStG |
|   | G K | 2441 Abschreibungen auf Forderungen gegenüber Gesellschaftern und nahe stehenden Personen (soweit unüblich hoch), § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG |
| Sonstige betriebliche Aufwendungen |  | 2450 Einstellungen in die Pauschalwertberichtigung auf Forderungen; 2451 Einstellungen in die Einzelwertberichtigung auf Forderungen |
| Einstellungen in Gewinnrücklagen in die Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen |  | 2480 Einstellungen in die Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen |
|  |  | F 2481 Einstellungen in gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung); 2485 Einstellungen in andere Ergebnisrücklagen; 2488 Änderung steuerlicher Ausgleichsposten (Körperschaften); F 2489 Änderung steuerlicher Ausgleichsposten (Personengesellschaften, Einzelunternehmen) |
|  | SB |  |
|  | SB |  |
| Aufwendungen aus Verlustübernahme | G K | 2490 Aufwendungen aus Verlustübernahme |
| Auf Grund einer Gewinn­gemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne oder Erträge aus Verlustübernahme | HB | 2491 Abgeführte Gewinnanteile (Soll) / ausgeglichene Verlustanteile (Haben) bei typisch stiller Beteiligung |
| Auf Grund einer Gewinn­gemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne |  | 2492 Abgeführte Gewinne auf Grund einer Gewinn­gemeinschaft |
| Auf Grund einer Gewinn­gemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne oder Erträge aus Verlustübernahme | G K | 2493 Abgeführte Gewinnanteile (Soll) / ausgeglichene Verlustanteile (Haben) bei typisch stiller Beteiligung § 8 GewStG |
| Auf Grund einer Gewinn­gemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags abgeführte Gewinne | K | 2494 Abgeführte Gewinne auf Grund eines Gewinn- oder Teilgewinnabführungsvertrags |
| Einstellung in die Kapitalrücklage nach den Vorschriften über die vereinfachte Kapitalherabsetzung |  | 2495 Einstellungen in die Kapitalrücklage nach den Vorschriften über die vereinfachte Kapitalherabsetzung |
| Einstellungen in Gewinnrücklagen in die gesetzliche Rücklage |  | 2496 Einstellungen in die gesetzliche Rücklage |
| Einstellungen in Gewinnrücklagen in satzungsmäßige Rücklagen |  | 2497 Einstellungen in satzungsmäßige Rücklagen |
| Einstellungen in Gewinnrücklagen in die Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen |  | F 2498 Einstellungen in den Ausgleichsposten für aktivierte eigene Anteile |
| Einstellungen in Gewinnrücklagen in andere Gewinnrücklagen |  | 2499 Einstellungen in andere Gewinnrücklagen |
|  |  | Sonstige betriebliche Erträge |
| Sonstige betriebliche Erträge | K | 2504 Erträge durch Verschmelzung und Umwandlung; R 2508 Betriebsfremde und periodenfremde Erträge; 2510 Sonstige betriebsfremde Erträge; 2520 Periodenfremde Erträge; Erträge aus der Anwendung von Übergangsvorschriften i. S. d. BilMoG; 2590 Erträge aus der Anwendung von Übergangsvorschriften; 2594 Erträge aus der Anwendung von Übergangsvorschriften (latente Steuern) |
|  | HB |  |
|  | HB |  |
| Erträge aus Beteiligungen | G K | 2600 Erträge aus Beteiligungen; 2603 Erträge aus Beteiligungen an Personengesellschaften (verbundene Unternehmen), § 9 GewStG bzw. § 18 EStG; 2613 Erträge aus typisch stillen Beteiligungen; 2614 Erträge aus atypisch stillen Beteiligungen; 2615 Erträge aus Anteilen an Kapitalgesellschaften (Beteiligung) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG |
|  |  | Zinserträge |
| Erträge aus Beteiligungen | G K | 2616 Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG; 2618 Gewinnanteile aus gewerblichen und selbständigen Mitunternehmerschaften, § 9 GewStG bzw. § 18 EStG; 2619 Erträge aus Beteiligungen an verbundenen Unternehmen |
| | |  |
| Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens | | 2620 Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens; 2621 Erträge aus Ausleihungen des Finanzanlagevermögens; 2622 Erträge aus Ausleihungen des Finanzanlagevermögens an verbundenen Unternehmen; 2623 Erträge aus Anteilen an Personengesellschaften (Finanzanlagevermögen) |
| | G K | 2625 Erträge aus Anteilen an Kapitalgesellschaften (Finanzanlagevermögen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 und 4 KStG |
| | G K | 2626 Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG |
| | | 2640 Zins- und Dividendenerträge; 2641 Erhaltene Ausgleichszahlungen (als außenstehender Aktionär); 2646 Erträge aus Anteilen an Personengesellschaften (verbundene Unternehmen); 2647 Erträge aus anderen Wertpapieren des Finanzanlagevermögens an Kapitalgesellschaften (verbundene Unternehmen); 2648 Erträge aus anderen Wertpapieren des Finanzanlagevermögens an Personengesellschaften (verbundene Unternehmen); 2649 Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens aus verbundenen Unternehmen |
| Sonstige Zinsen und ähnliche Erträge | G K | 2650 Sonstige Zinsen und ähnliche Erträge; 2653 Zinserträge § 233a AO und § 4 Abs. 5b EStG, steuerfrei; 2654 Erträge aus anderen Wertpapieren und Ausleihungen des Umlaufvermögens |
| | G K | 2655 Erträge aus Anteilen an Kapitalgesellschaften (Umlaufvermögen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 und 4 KStG |
| | G K | 2656 Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG |
| | K | 2657 Zinserträge § 233a AO, steuerpflichtig; 2658 Zinserträge § 233a AO, steuerfrei (Anlage GK KSt); 2659 Sonstige Zinsen und ähnliche Erträge aus verbundenen Unternehmen |
| Sonstige betriebliche Erträge |  | 2660 Erträge aus der Währungsumrechnung; 2661 Erträge aus der Währungsumrechnung (nicht § 256a HGB); 2666 Erträge aus Bewertung Finanzmittelfonds |
| Sonstige Zinsen und ähnliche Erträge | G K HB | R 2670 -79; 2680 Zinsähnliche Erträge; 2682 Steuerfreie Zinserträge aus der Abzinsung von Rückstellungen; 2683 Zinserträge aus der Abzinsung von Verbindlichkeiten; 2684 Zinserträge aus der Abzinsung von Rückstellungen; 2685 Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen |
| Sonstige Zinsen und ähnliche Erträge oder Zinsen und ähnliche Aufwendungen | HB | 2686 Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen zur Verrechnung nach § 246 Abs. 2 HGB; 2687 Erträge aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB |
| Sonstige Zinsen und ähnliche Erträge |  | 2689 Zinsähnliche Erträge aus verbundenen Unternehmen |
|  |  | Sonstige Erträge |
| Sonstige betriebliche Erträge |  | 2700 Andere betriebs- und/oder periodenfremde (neutrale) sonstige Erträge; 2705 Sonstige betriebliche und regelmäßige Erträge (neutral); 2707 Sonstige Erträge betriebsfremd und regelmäßig; 2709 Sonstige Erträge unregelmäßig; 2710 Erträge aus Zuschreibungen des Sachanlagevermögens; 2711 Erträge aus Zuschreibungen des immateriellen Anlagevermögens; 2712 Erträge aus Zuschreibungen des Finanzanlagevermögens; 2713 Erträge aus Zuschreibungen des Finanzanlagevermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 3 S. 9 KStG; 2714 Erträge aus Zuschreibungen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG; 2715 Erträge aus Zuschreibungen des Umlaufvermögens (außer Vorräte); 2716 Erträge aus Zuschreibungen des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 3 S. 9 KStG; R 2720 -23; 2724 Abgänge Wertpapiere des Umlaufvermögens § 8b Abs. 2 KStG (Buchwert bei Buchgewinn); 2725 Erträge aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte) |
| Sonstige betriebliche Erträge | G   K      | 2726 Erträge aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte) § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG; 2727 Erträge aus der Auflösung einer steuerlichen Rücklage nach § 6b Abs. 3 EStG; 2728 Erträge aus der Auflösung einer steuerlichen Rücklage nach § 6b Abs. 10 EStG; 2729 Erträge aus der Auflösung der Rücklage für Ersatzbeschaffung, R 6.6 EStR; 2730 Erträge aus der Herabsetzung der Pauschalwertberichtigung auf Forderungen; 2731 Erträge aus der Herabsetzung der Einzelwertberichtigung auf Forderungen; 2732 Erträge aus abgeschriebenen Forderungen; 2735 Erträge aus der Auflösung von Rückstellungen; 2736 Erträge aus der Herabsetzung von Verbindlichkeiten; 2737 Erträge aus der Auflösung einer steuerlichen Rücklage nach § 4g EStG; 2740 Erträge aus der Auflösung sonstiger steuerlicher Rücklagen; 2741 Erträge aus der Auflösung steuerrechtlicher Sonderabschreibungen; 2742 Versicherungsentschädigungen und Schadenersatzleistungen; 2743 Investitionszuschüsse (steuerpflichtig); 2744 Investitionszulagen (steuerfrei) |
|                                | SB        |              |
|                                | SB        |              |
|                                | G   K     |              |
| Ertrag aus Kapitalherabsetzung | K         | 2745 Erträge aus Kapitalherabsetzung |
| Sonstige betriebliche Erträge  | G   K     | 2746 Steuerfreie Erträge aus der Auflösung von steuerlichen Rücklagen; 2747 Sonstige steuerfreie Betriebseinnahmen; 2749 Erstattungen Aufwendungsausgleichgesetz |
| Umsatzerlöse                   | U         | 2750 Grundstückserträge |
|                                | AM 2751   | Erlöse aus Vermietung und Verpachtung, umsatzsteuerfrei § 4 Nr. 12 UStG |
|                                | U         | 2752 Erlöse aus Vermietung und Verpachtung 19 % USt |
|                                | R 2753-54 |              |
| Sonstige betriebliche Erträge  |           | 2760 Erträge aus der Aktivierung unentgeltlich erworbener Vermögensgegenstände; 2762 Kostenerstattungen, Rückvergütungen und Gutschriften für frühere Jahre |
| Umsatzerlöse                   |           | 2764 Erträge aus Verwaltungskostenumlage |
| Erträge aus Verlustübernahme   | K         | 2790 Erträge aus Verlustübernahme |
| Auf Grund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags erhaltene Gewinne | G K | 2792 Erhaltene Gewinne auf Grund einer Gewinngemeinschaft; 2794 Erhaltene Gewinne auf Grund eines Gewinn- oder Teilgewinnabführungsvertrags |
| Entnahmen aus der Kapitalrücklage |  | 2795 Entnahmen aus der Kapitalrücklage |
| Entnahmen aus Gewinnrücklagen aus der gesetzlichen Rücklage |  | 2796 Entnahmen aus der gesetzlichen Rücklage |
| Entnahmen aus Gewinnrücklagen aus satzungsmäßigen Rücklagen |  | 2797 Entnahmen aus satzungsmäßigen Rücklagen |
| Entnahmen aus Gewinnrücklagen aus der Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen | F | 2798 Entnahmen aus dem Ausgleichsposten für aktivierte eigene Anteile |
| Entnahmen aus Gewinnrücklagen aus anderen Gewinnrücklagen |  | 2799 Entnahmen aus anderen Gewinnrücklagen |
| Entnahmen aus Gewinnrücklagen aus der Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen |  | 2840 Entnahmen aus der Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen |
|  | F | 2841 Entnahmen aus gesamthänderisch gebundenen Rücklagen (mit Aufteilung für Kapitalkontenentwicklung); 2850 Entnahmen aus anderen Ergebnisrücklagen |
| Gewinnvortrag oder Verlustvortrag |  | 2860 Gewinnvortrag nach Verwendung |
|  | F | 2865 Gewinnvortrag nach Verwendung (mit Aufteilung für Kapitalkontenentwicklung); 2867 Verlustvortrag nach Verwendung (mit Aufteilung für Kapitalkontenentwicklung) |
| Gewinnvortrag oder Verlustvortrag |  | 2868 Verlustvortrag nach Verwendung |
|  |  |  |
| Ausschüttung |  | 2870 Vorausschüttung |
|  |  |  |
| Sonstige betriebliche Aufwendungen |  | Verrechnete kalkulatorische Kosten; 2890 Verrechneter kalkulatorischer Unternehmerlohn; 2891 Verrechnete kalkulatorische Miete und Pacht; 2892 Verrechnete kalkulatorische Zinsen; 2893 Verrechnete kalkulatorische Abschreibungen; 2894 Verrechnete kalkulatorische Wagnisse; 2895 Verrechneter kalkulatorischer Lohn für unentgeltliche Mitarbeiter; R 2900 |
|  |  | V 3000-3028; KU 3029; V 3030-3106; KU 3107; V 3108; KU 3109; V 3110-3348; KU 3349; V 3350-3599; V 3700-3949; KU 3950-3999 |
|  |  | Materialaufwand |
| Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren |  | 3000 Roh-, Hilfs- und Betriebsstoffe; AV 3010 Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer; R 3020-28; 3029 Einkauf Roh-, Hilfs- und Betriebsstoffe ohne Vorsteuerabzug; AV 3030 Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer; R 3040-59; AV 3060 Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 7% Vorsteuer und 7% Umsatzsteuer; R 3061; AV 3062 Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 19% Vorsteuer und 19% Umsatzsteuer; R 3064-65; AV 3066 Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb ohne Vorsteuer und 7% Umsatzsteuer; AV 3067 Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb ohne Vorsteuer und 19% Umsatzsteuer; R 3068-69; AV 3070 Einkauf Roh-, Hilfs- und Betriebsstoffe 5,5% Vorsteuer; AV 3071 Einkauf Roh-, Hilfs- und Betriebsstoffe 9,0%/7,8% Vorsteuer; R 3072-74; AV 3075 Einkauf Roh-, Hilfs- und Betriebsstoffe aus einem USt-Lager § 13a UStG 7% Vorsteuer und 7% Umsatzsteuer; AV 3076 Einkauf Roh-, Hilfs- und Betriebsstoffe aus einem USt-Lager § 13a UStG 19% Vorsteuer und 19% Umsatzsteuer; R 3077-88; AV 3089 Erwerb Roh-, Hilfs- und Betriebsstoffe als letzter Abnehmer innerhalb Dreiecksgeschäft 19% Vorsteuer und 19% Umsatzsteuer; 3090 Energiestoffe (Fertigung); AV 3091 Energiestoffe (Fertigung) 7% Vorsteuer; AV 3092 Energiestoffe (Fertigung) 19% Vorsteuer; R 3093 |
| Aufwendungen für bezogene Leistungen |  | 3100 Fremdleistungen; 3106 Fremdleistungen 19 % Vorsteuer; 3107; 3108 Fremdleistungen 7 % Vorsteuer; 3109 Fremdleistungen ohne Vorsteuer; Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird |
|  | U | 3110 Bauleistungen eines im Inland ansässigen Unternehmers 7 % Vorsteuer und 7 % Umsatzsteuer; 3111; 3112 |
|  | U | 3113 Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 7 % Vorsteuer und 7 % Umsatzsteuer; 3114 |
|  | U | 3115 Leistungen eines im Ausland ansässigen Unternehmers 7 % Vorsteuer und 7 % Umsatzsteuer; 3116; 3119 |
|  | U | 3120 Bauleistungen eines im Inland ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer; 3121; 3122 |
|  | U | 3123 Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer; 3124 |
|  | U | 3125 Leistungen eines im Ausland ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer; 3126; 3127; 3129 |
|  | U | 3130 Bauleistungen eines im Inland ansässigen Unternehmers ohne Vorsteuer und 7 % Umsatzsteuer; 3131; 3132 |
|  | U | 3133 Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorsteuer und 7 % Umsatzsteuer; 3134 |
|  | U | 3135 Leistungen eines im Ausland ansässigen Unternehmers ohne Vorsteuer und 7 % Umsatzsteuer; 3136; 3139 |
|  | U | 3140 Bauleistungen eines im Inland ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer; 3141; 3142 |
|  | U | 3143 Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer; 3144 |
|  | U | 3145 Leistungen eines im Ausland ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer; 3146; 3147; 3149 |
|  |  | 3150; Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird |
| Aufwendungen für bezogene Leistungen | U   | S/AV 3151 Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird 19 % Vorsteuer und 19 % Umsatzsteuer; R 3152 |
|                                     |     | S/AV 3153 Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird ohne Vorsteuer aber mit Umsatzsteuer |
|                                     | U   | S/AV 3154 Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird ohne Vorsteuer, mit 19 % Umsatzsteuer; R 3155; -59; 3160 Leistungen nach § 13b UStG mit Vorsteuerabzug; 3165 Leistungen nach § 13b UStG ohne Vorsteuerabzug |
|                                     | G K | 3170 Fremdleistungen (Miet- und Pachtzinsen bewegliche Wirtschaftsgüter)    |
|                                     | G K | 3175 Fremdleistungen (Miet- und Pachtzinsen unbewegliche Wirtschaftsgüter)  |
|                                     | G K | 3180 Fremdleistungen (Entgelte für Rechte und Lizenzen)                     |
|                                     | G   | 3185 Fremdleistungen (Vergütungen für die Überlassung von Wirtschaftsgütern - mit Sonderbetriebseinnahme korrespondierend) |
| Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren |     | 3200 Wareneingang; AV 3300 Wareneingang 7 % Vorsteuer; -09; R 3310; -46; AV 3347 Wareneingang 7 % Vorsteuer; R 3348; 3349 Wareneingang ohne Vorsteuerabzug; AV 3400 Wareneingang 19 % Vorsteuer; -09; R 3410; -17; AV 3418 Wareneingang 19 % Vorsteuer; R 3419 |
|                                     | U   | AV 3420 Innergemeinschaftlicher Erwerb 7 % -24 Vorsteuer und 7 % Umsatzsteuer |
|                                     | U   | AV 3425 Innergemeinschaftlicher Erwerb -29 19 % Vorsteuer und 19 % Umsatzsteuer |
|                                     | U   | AV 3430 Innergemeinschaftlicher Erwerb ohne Vorsteuer und 7 % Umsatzsteuer; R 3431; -34 |
|                                     | U   | AV 3435 Innergemeinschaftlicher Erwerb ohne Vorsteuer und 19 % Umsatzsteuer |
| Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren | U | R 3436 -39; AV 3440 Innergemeinschaftlicher Erwerb von Neufahrzeugen von Lieferanten ohne USt-Id-Nr. 19 % Vorsteuer und 19 % Umsatzsteuer |
|  | U | R 3441 -49; R 3500 -04 |
|  |  | AV 3505 Wareneingang 5,5 % Vorsteuer -09; R 3510 -39; AV 3540 Wareneingang zum Durchschnittssatz nach § 24 UStG 9,0 % / 7,8 % Vorsteuer |
|  | U | AV 3550 Steuerfreier innergemeinschaftlicher Erwerb; 3551 Wareneingang im Drittland steuerbar; 3552 Erwerb 1. Abnehmer innerhalb eines Dreiecksgeschäftes |
|  | U | AV 3553 Erwerb Waren als letzter Abnehmer innerhalb Dreiecksgeschäft 19 % Vorsteuer und 19 % Umsatzsteuer |
|  |  | R 3554 -57; 3558 Wareneingang im anderen EU-Land steuerbar; 3559 Steuerfreie Einfuhren |
|  | U | AV 3560 Waren aus einem Umsatzsteuerrlager, § 13a UStG 7 % Vorsteuer und 7 % Umsatzsteuer; R 3561 -64 |
|  | U | AV 3565 Waren aus einem Umsatzsteuerlager, § 13a UStG 19 % Vorsteuer und 19 % Umsatzsteuer |
|  |  | R 3566 -69; 3600 Nicht abziehbare Vorsteuer -09; 3610 Nicht abziehbare Vorsteuer 7 % -19; R 3620 -29; R 3650 -59; 3660 Nicht abziehbare Vorsteuer 19 % -69; 3700 Nachlässe; 3701 Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe; AV 3710 Nachlässe 7 % Vorsteuer -11; R 3712 -13; AV 3714 Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer; AV 3715 Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer; R 3716 |
|  | U | AV 3717 Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer |
|  | U | AV 3718 Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer |
|Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren|U|AV 3720 Nachlässe 19 % Vorsteuer; -21; R 3722; -23|
|||AV 3724 Nachlässe aus innergemeinschaftlichem Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer|
|U||AV 3725 Nachlässe aus innergemeinschaftlichem Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer; R 3726; -29|
|||S/AV 3730 Erhaltene Skonti; S/AV 3731 Erhaltene Skonti 7 % Vorsteuer; R 3732; S/AV 3733 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe; S/AV 3734 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer; R 3735; S/AV 3736 Erhaltene Skonti 19 % Vorsteuer; R 3737; S/AV 3738 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer; R 3739; -40|
|U||S/AV 3741 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpflichtigem innergemeinschaftlichem Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer; R 3742|
|U||S/AV 3743 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpflichtigem innergemeinschaftlichem Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer; S/AV 3744 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpflichtigem innergemeinschaftlichem Erwerb; S/AV 3745 Erhaltene Skonti aus steuerpflichtigem innergemeinschaftlichem Erwerb|
|U||S/AV 3746 Erhaltene Skonti aus steuerpflichtigem innergemeinschaftlichem Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer; R 3747|
|U||S/AV 3748 Erhaltene Skonti aus steuerpflichtigem innergemeinschaftlichem Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer; R 3749|
|||AV 3750 Erhaltene Boni 7 % Vorsteuer; -51; R 3752; 3753 Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe; AV 3754 Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer; AV 3755 Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer; R 3756; -59; AV 3760 Erhaltene Boni 19 % Vorsteuer; -61|
| Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren |  | R 3762 -68;3769 Erhaltene Boni;3770 Erhaltene Rabatte;AV 3780 Erhaltene Rabatte 7 % Vorsteuer -81;R 3782;3783 Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe;AV 3784 Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer;AV 3785 Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer;R 3786;S/AV 3787 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 9,0 % Vorsteuer;R 3788 -89;AV 3790 Erhaltene Rabatte 19 % Vorsteuer -91;AV 3792 Erhaltene Skonti aus Erwerb Roh-, Hilfs- und Betriebsstoffe als letzter Abnehmer innerhalb Dreiecksgeschäft 19 % Vorsteuer und 19 % Umsatzsteuer;AV 3793 Erhaltene Skonti aus Erwerb Waren als letzter Abnehmer innerhalb Dreiecksgeschäft 19 % Vorsteuer und 19 % Umsatzsteuer;S/AV 3794 Erhaltene Skonti 5,5 % Vorsteuer;S/AV 3795 Erhaltene Skonti 9,0 % Vorsteuer;R 3796 -97;S/AV 3798 Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 5,5 % Vorsteuer;R 3799;3800 Bezugsnebenkosten;3830 Leergut;3850 Zölle und Einfuhrabgaben;3950 Bestandsveränderungen Waren -54;3955 Bestandsveränderungen Roh-, Hilfs- und Betriebsstoffe -59;3960 Bestandsveränderungen Roh-, Hilfs- und Betriebsstoffe sowie bezogene Waren -69 |
|  | Roh-, Hilfs- und Betriebsstoffe |  |
|  |  | **Bestand an Vorräten** |
|  | Roh-, Hilfs- und Betriebsstoffe | 3970 Roh-, Hilfs- und Betriebsstoffe -79 (Bestand) |
|  | Fertige Erzeugnisse und Waren | 3980 Waren (Bestand) -89 |
|  |  | **Verrechnete Stoffkosten** |
| Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren |  | 3990 Verrechnete Stoffkosten -99 (Gegenkonto zu 4000-99) |
|  |  | V 4000-4099; V 4200-4299; V 4400-4509; KU 4510-4519; V 4520-4821; V 4900-4983; V 4985-4989 |
|  |  | Material- und Stoffverbrauch |
| Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren |  | 4000 Material- und Stoffverbrauch -99 |
|  |  | Personalaufwendungen |
| Löhne und Gehälter | K | 4100 Löhne und Gehälter; 4110 Löhne; 4120 Gehälter; 4124 Geschäftsführergehälter der GmbH-Gesellschafter; 4125 Ehegattengehalt; 4126 Tantiemen Gesellschafter-Geschäftsführer; 4127 Geschäftsführergehälter |
|  | G | 4128 Vergütungen an angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend) |
|  | K | 4129 Tantiemen Arbeitnehmer |
| Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung | G | 4130 Gesetzliche soziale Aufwendungen; 4137 Gesetzliche soziale Aufwendungen für Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend); 4138 Beiträge zur Berufsgenossenschaft |
| Sonstige betriebliche Aufwendungen |  | 4139 Ausgleichsabgabe nach dem Schwerbehindertengesetz |
| Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung |  | 4140 Freiwillige soziale Aufwendungen, lohnsteuerfrei; 4141 Sonstige soziale Abgaben; 4144 Soziale Abgaben für Minijobber |
| Löhne und Gehälter |  | 4145 Freiwillige soziale Aufwendungen, lohnsteuerpflichtig; 4146 Freiwillige Zuwendungen an Minijobber; 4147 Freiwillige Zuwendungen an Gesellschafter-Geschäftsführer |
