# This file was automatically generated by Contrib::SKR03Mapping::Generators::ClassificationJsonBuilder
# Columns: code; flags; range; cid; presentation_rule; description
1640;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht
1641;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;- Restlaufzeit bis 1 Jahr
1645;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;- Restlaufzeit 1 bis 5 Jahre
1648;F;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;- Restlaufzeit größer 5 Jahre
1650;F;;;vll_standard;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Gesellschaftern
1651;F;;;vll_standard;- Restlaufzeit bis 1 Jahr
1655;F;;;vll_standard;- Restlaufzeit 1 bis 5 Jahre
1658;F;;;vll_standard;- Restlaufzeit größer 5 Jahre
1659;;;;vll_standard;Gegenkonto 1625-1658 bei Aufteilung Kreditorenkonto
1660;R;1660-1664;;liability_only;
1665;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber GmbH-Gesellschaftern
1666;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1667;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
1668;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1670;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern
1671;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1672;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
1673;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1675;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber Kommanditisten
1676;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1677;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
1678;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1691;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber Arbeitsgemeinschaften
1692;;;;;Neutralisierung aufwandswirksamer Sachverhalte für § 4 Abs. 3 EStG
1693;;;;;Ergebnisneutrale Sachverhalte für § 4 Abs. 3 EStG
1695;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber stillen Gesellschaftern
1696;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1697;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 5 Jahre
1698;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1700;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Sonstige Verbindlichkeiten
1701;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1702;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 5 Jahre
1703;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1704;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Sonstige Verbindlichkeiten nach § 11 Abs. 2 Satz 2 EStG für § 4 Abs. 3 EStG
1705;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Darlehen
1706;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1707;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 5 Jahre
1708;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1709;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Gewinnverfügungskonto stille Gesellschafter - sonstige Verbindlichkeiten
1710;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene Anzahlungen auf Bestellungen (Verbindlichkeiten)
1711;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene, versteuerte Anzahlungen 7 % USt (Verbindlichkeiten)
1712;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene, versteuerte Anzahlungen 5 % USt (Verbindlichkeiten)
1714;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene, versteuerte Anzahlungen 0 % USt (Verbindlichkeiten)
1715;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene Anzahlungen - Nachsteuer
1717;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene, versteuerte Anzahlungen 16 % USt (Verbindlichkeiten)
1718;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene, versteuerte Anzahlungen 19 % USt (Verbindlichkeiten)
1719;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;Erhaltene Anzahlungen - Restlaufzeit bis 1 Jahr
1720;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;- Restlaufzeit 1 bis 5 Jahre
1721;;;b.passiva.verbindlichkeiten.erhaltene_anzahlungen_auf_bestellungen;unknown;- Restlaufzeit größer 5 Jahre
1722;;;;unknown;Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt)
1725;S;;;needs_review;Umsatzsteuer in Folgeperiode fällig (§§ 13 Abs. 1 Nr. 6 und 13b Abs. 2 UStG)
1728;S;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Umsatzsteuer aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen
1729;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Steuerzahlungen aus im anderen EU-Land steuerpflichtigen Leistungen
1730;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Kreditkartenabrechnung
1731;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Agenturwarenabrechnung
1732;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Erhaltene Kautionen
1733;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1734;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
1735;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1736;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten aus Steuern und Abgaben
1737;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1738;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
1739;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1740;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten aus Lohn und Gehalt
1741;;;;needs_review;Verbindlichkeiten aus Lohn- und Kirchensteuer
1742;;;;needs_review;Verbindlichkeiten im Rahmen der sozialen Sicherheit
1743;;;;needs_review;- Restlaufzeit bis 1 Jahr
1744;;;;needs_review;- Restlaufzeit 1 bis 5 Jahre
1745;;;;needs_review;- Restlaufzeit größer 5 Jahre
1746;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten aus Einbehaltungen (KapESt und SolZ, KiSt auf KapESt) für offene Ausschüttungen
1747;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten für Verbrauchsteuern
1748;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten für Einbehaltungen von Arbeitnehmern
1749;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag
1750;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten aus Vermögensbildung
1751;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit bis 1 Jahr
1752;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
1753;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
1754;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Steuerzahlungen an andere Länder
1755;;;;needs_review;Lohn- und Gehaltsverrechnung
1756;;;;needs_review;Lohn- und Gehaltsverrechnung nach § 11 Abs. 2 Satz 2 EStG für § 4 Abs. 3 EStG
1757;;;;;Verbindlichkeiten gegenüber Gesellschaft/Gesamthand
1758;;;;;Sonstige Verbindlichkeiten aus genossenschaftlicher Rückvergütung
1759;;;;needs_review;Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern
1760;S;;;needs_review;Umsatzsteuer nicht fällig
1761;S;;;needs_review;Umsatzsteuer nicht fällig 7 %
1762;S;;;needs_review;Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen
1763;R;;;needs_review;
1764;S;;;needs_review;Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19 %
1765;R;;;needs_review;
1766;S;;;needs_review;Umsatzsteuer nicht fällig 19 %
1767;S;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Lieferungen
1768;S;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Umsatzsteuer aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen/Werklieferungen
1769;S;;;needs_review;Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager
1770;S;;;needs_review;Umsatzsteuer
1771;S;;;needs_review;Umsatzsteuer 7 %
1772;S;;;needs_review;Umsatzsteuer aus innergemeinschaftlichem Erwerb
1773;R;;;needs_review;
1774;S;;;needs_review;Umsatzsteuer aus innergemeinschaftlichem Erwerb 19 %
1775;R;;;needs_review;
1776;S;;;needs_review;Umsatzsteuer 19 %
1777;S;;;needs_review;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen
1778;S;;;needs_review;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen 19 %
1779;S;;;needs_review;Umsatzsteuer aus innergemeinschaftlichem Erwerb ohne Vorsteuerabzug
1780;F;;;needs_review;Umsatzsteuer-Vorauszahlungen
1781;F;;;needs_review;Umsatzsteuer-Vorauszahlungen 1/11
1782;F;;;needs_review;Nachsteuer, UStVA Kz. 65
1783;F;;;needs_review;In Rechnung unrichtig oder unberechtigt ausgewiesene Steuerbeträge, UStVA Kz. 69
1784;S;;;needs_review;Umsatzsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne Umsatzsteuer-Identifikationsnummer
1785;S;;;needs_review;Umsatzsteuer nach § 13b UStG
1786;R;;;needs_review;
1787;S;;;needs_review;Umsatzsteuer nach § 13b UStG 19 %
1788;;;;needs_review;Einfuhrumsatzsteuer aufgeschoben bis ...
1789;;;;needs_review;Umsatzsteuer laufendes Jahr
1790;;;;needs_review;Umsatzsteuerverbindlichkeiten Vorjahr
1791;;;;needs_review;Umsatzsteuerverbindlichkeiten frühere Jahre
1792;;;;sonstige_bidirectional;Sonstige Verrechnungskonten (Interimskonten)
1793;;;;liability_only;Verrechnungskonto geleistete Anzahlungen bei Buchung über Kreditorenkonto
1794;S;;;needs_review;Umsatzsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts
1795;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten im Rahmen der sozialen Sicherheit für § 4 Abs. 3 EStG
1796;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Ausgegebene Geschenkgutscheine
1797;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten aus Umsatzsteuer-Vorauszahlungen
1798;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen, nur OSS
1800;F;;;;Privatentnahmen allgemein
1801;F;;;;Privatentnahmen allgemein (nur Einzelunternehmen)
1810;F;;;;Privatsteuern
1811;F;;;;Privatsteuern (nur Einzelunternehmen)
1820;F;;;;Sonderausgaben beschränkt abzufähig
1821;F;;;;Sonderausgaben beschränkt abzugfähig (nur Einzelunternehmen)
1830;F;;;;Sonderausgaben unbeschränkt abzugfähig
1831;F;;;;Sonderausgaben unbeschränkt abzugfähig (nur Einzelunternehmen)
1840;F;;;;Zuwendungen, Spenden
1841;F;;;;Zuwendungen, Spenden (nur Einzelunternehmen)
1850;F;;;;Außergewöhnliche Belastungen
1851;F;;;;Außergewöhnliche Belastungen (nur Einzelunternehmen)
1860;F;;;;Grundstücksaufwand
1861;F;;;;Grundstücksaufwand (nur Einzelunternehmen)
1869;;;;;Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)
1870;F;;;;Grundstücksertrag
1871;F;;;;Grundstücksertrag (nur Einzelunternehmen)
1879;;;;;Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)
1880;F;;;;Unentgeltliche Wertabgaben
1881;F;;;;Unentgeltliche Wertabgaben (nur Einzelunternehmen)
1890;F;;;;Privateinlagen
1891;F;;;;Privateinlagen (nur Einzelunternehmen)
1900;F;;;;Privatentnahmen allgemein (TH), FK
1901;R;1901-1909;;;
1910;F;;;;Privatsteuern (TH), FK
1911;R;1911-1919;;;
1920;F;;;;Sonderausgaben beschränkt abzugsfähig (TH), FK
1921;R;1921-1929;;;
1930;F;;;;Sonderausgaben unbeschränkt abzugsfähig (TH), FK
1931;R;1931-1939;;;
1940;F;;;;Zuwendungen, Spenden (TH), FK
1941;R;1941-1949;;;
1950;F;;;;Außergewöhnliche Belastungen (TH), FK
1951;R;1951-1959;;;
1960;F;;;;Grundstücksaufwand (TH), FK
1961;R;1961-1969;;;
1970;F;;;;Grundstücksertrag (TH), FK
1971;R;1971-1979;;;
1980;F;;;;Unentgeltliche Wertabgaben (TH), FK
1981;R;1981-1989;;;
1990;F;;;;Privateinlagen (TH), FK
1991;R;1991-1999;;;
2004;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Verluste durch Verschmelzung und Umwandlung
2007;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen für Restrukturierungs- und Sanierungsmaßnahmen
2010;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Betriebsfremde Aufwendungen
2020;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Periodenfremde Aufwendungen
2090;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen aus der Anwendung von Übergangsvorschriften
2091;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen aus der Anwendung von Übergangsvorschriften (Pensionsrückstellungen)
2094;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen aus der Anwendung von Übergangsvorschriften (Latente Steuern)
2100;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen und ähnliche Aufwendungen
2102;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern § 4 Abs. 5b EStG
2103;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Steuerlich abzugsfähige andere Nebenleistungen zu Steuern
2104;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern
2105;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen § 233a AO nicht abzugsfähig
2107;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen § 233a AO abzugsfähig
2108;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen §§ 234 bis 237 AO nicht abzugsfähig
2109;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen an verbundene Unternehmen
2110;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen für kurzfristige Verbindlichkeiten
2111;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen §§ 234 bis 237 AO abzugsfähig
2113;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Nicht abzugsfähige Schuldzinsen nach § 4 Abs. 4a EStG (Hinzurechnungsbetrag)
2114;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen für Gesellschafterdarlehen
2115;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen und ähnliche Aufwendungen §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 und 4 KStG
2116;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen und ähnliche Aufwendungen an verbundene Unternehmen §§ 3 Nr. 40 und 3c EStG bzw. § 8b Abs. 1 KStG
2117;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen an Gesellschafter mit einer Beteiligung von mehr als 25 % bzw. diesen nahe stehende Personen
2118;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen auf Kontokorrentkonten
2119;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen für kurzfristige Verbindlichkeiten an verbundene Unternehmen
2120;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen für langfristige Verbindlichkeiten
2123;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Abschreibungen auf ein Agio oder Disagio/Damnum zur Finanzierung
2124;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Abschreibungen auf ein Agio oder Disagio/Damnum zur Finanzierung des Anlagevermögens
2125;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen für Gebäude, die zum Betriebsvermögen gehören
2126;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsen zur Finanzierung des Anlagevermögens
2127;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Renten und dauernde Lasten
2128;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen für Kapitalüberlassung durch Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend)
2129;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen für langfristige Verbindlichkeiten an verbundene Unternehmen
2140;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsähnliche Aufwendungen
2141;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Kreditprovisionen und Verwaltungskostenbeiträge
2142;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsanteil der Zuführungen zu Pensionsrückstellungen
2143;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen aus der Abzinsung von Verbindlichkeiten
2144;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen aus der Abzinsung von Rückstellungen
2145;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen
2146;;;;needs_review;Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen zur Verrechnung nach § 246 Abs. 2 HGB
2147;;;;needs_review;Aufwendungen aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB
2148;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Steuerlich nicht abzugsfähige Zinsaufwendungen aus der Abzinsung von Rückstellungen
2149;;;guv.zinsen_und_aehnliche_aufwendungen_davon_an_verbundene_untern;pnl_only;Zinsähnliche Aufwendungen an verbundene Unternehmen
2150;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen aus der Währungsumrechnung
2151;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB)
2166;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Aufwendungen aus Bewertung Finanzmittelfonds
2170;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Nicht abziehbare Vorsteuer
2171;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Nicht abziehbare Vorsteuer 7 %
2176;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Nicht abziehbare Vorsteuer 19 %
2200;;;;pnl_only;Körperschaftsteuer
2203;;;;pnl_only;Körperschaftsteuer für Vorjahre
2204;;;;pnl_only;Körperschaftsteuererstattungen für Vorjahre
2208;;;;pnl_only;Solidaritätszuschlag
2209;;;;pnl_only;Solidaritätszuschlag für Vorjahre
2210;;;;pnl_only;Solidaritätszuschlagerstattungen für Vorjahre
2213;;;;pnl_only;Kapitalertragsteuer 25 %
2216;;;;pnl_only;Anrechenbarer Solidaritätszuschlag auf Kapitalertragsteuer 25 %
2218;;;;pnl_only;Ausländische Steuer auf im Inland steuerfreie DBA-Einkünfte
2219;;;;pnl_only;Anrechnung/Abzug ausländische Quellensteuer
2250;;;;pnl_only;Aufwendungen aus der Zuführung und Auflösung von latenten Steuern
2255;;;;pnl_only;Erträge aus der Zuführung und Auflösung von latenten Steuern
2260;;;;pnl_only;Aufwendungen aus der Zuführung zu Steuerrückstellungen für Steuerstundung (BStBK)
2265;;;;pnl_only;Erträge aus der Auflösung von Steuerrückstellungen für Steuerstundung (BStBK)
2281;;;;pnl_only;Gewerbesteuernachzahlungen und Gewerbesteuererstattungen für Vorjahre nach § 4 Abs. 5b EStG
2283;;;;pnl_only;Erträge aus der Auflösung von Gewerbesteuerrückstellungen nach § 4 Abs. 5b EStG
2285;;;guv.sonstige_steuern;unknown;Steuernachzahlungen Vorjahre für sonstige Steuern
2287;;;guv.sonstige_steuern;unknown;Steuererstattungen Vorjahre für sonstige Steuern
2289;;;guv.sonstige_steuern;unknown;Erträge aus der Auflösung von Rückstellungen für sonstige Steuern
2300;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Sonstige Aufwendungen
2307;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Sonstige Aufwendungen betriebsfremd und regelmäßig
2308;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Sonstige nicht abziehbare Aufwendungen
2309;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Sonstige Aufwendungen unregelmäßig
2310;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Anlagenabgänge Sachanlagen (Restbuchwert bei Buchverlust)
2311;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchverlust)
2312;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchverlust)
2313;;;guv.sonstige_betriebliche_aufwendungen;pnl_only;Anlagenabgänge Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG (Restbuchwert bei Buchverlust)
2315;;;guv.sonstige_betriebliche_ertraege;unknown;Anlagenabgänge Sachanlagen (Restbuchwert bei Buchgewinn)
